Id,Name,pagesNumber,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating
65,"Shadows in the Starlight (Changeling Detective, #2)",288,total:199,Tor Books,6,2007,,Elaine Cunningham,3.68
66,"The Changeling (Daughters of England, #15)",369,total:439,Ivy Books,13,1990,eng,Philippa Carr,3.98
67,The Known World,388,total:33493,Amistad,2632,2006,eng,Edward P. Jones,3.83
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",334,total:1645,FT Press,83,2006,eng,Satyajit Das,3.83
72,Artesia: Adventures in the Known World,352,total:53,Archaia,4,2005,eng,Mark Smylie,4.13
74,"The John McPhee Reader (John McPhee Reader, #1)",416,total:624,"Farrar, Straus and Giroux",37,1982,eng,John McPhee,4.42
75,Uncommon Carriers,248,total:1895,Farrar Straus Giroux,203,2006,en-US,John McPhee,3.95
76,Heirs of General Practice,128,total:287,"Farrar, Straus and Giroux",23,1986,eng,John McPhee,4.16
77,The Control of Nature,288,total:3747,"Farrar, Straus and Giroux",305,1990,en-US,John McPhee,4.24
78,Annals of the Former World,720,total:3472,"Farrar, Straus and Giroux",227,1999,eng,John McPhee,4.34
79,Coming Into the Country,448,total:6049,"Farrar, Straus and Giroux",262,1991,eng,John McPhee,4.22
80,La Place de la Concorde Suisse,160,total:816,"Farrar, Straus and Giroux",53,1994,fre,John McPhee,3.92
81,Giving Good Weight,288,total:587,"Farrar, Straus and Giroux",36,1994,eng,John McPhee,4.22
82,"The Second John McPhee Reader (John McPhee Reader, #2)",393,total:202,"Farrar, Straus and Giroux",1,1996,,John McPhee,4.37
83,Rising from the Plains,208,total:1418,"Farrar, Straus and Giroux",99,1987,eng,John McPhee,4.23
85,The Heidi Chronicles,81,total:1513,Dramatists Play Service,70,2002,eng,Wendy Wasserstein,3.75
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,249,total:2776,Vintage,64,1991,eng,Wendy Wasserstein,3.84
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",138,total:31,Routledge,1,2006,eng,Heidi Hayes Jacobs,3.94
90,Simply Beautiful Beaded Jewelry,128,total:64,North Light Books,4,2006,en-US,Heidi Boyd,3.77
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,192,total:1009,Chosen Books,53,2003,eng,Heidi Baker,4.46
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,108,total:77,Association for Supervision & Curriculum Development,2,1997,en-US,Heidi Hayes Jacobs,3.66
93,"Heidi (Heidi, #1-2)",352,total:167957,Kingfisher,2289,2002,eng,Johanna Spyri,3.99
94,Getting Results with Curriculum Mapping,192,total:56,ASCD,5,2004,eng,Heidi Hayes Jacobs,3.25
95,"Cinnamon and Roses (Rose Trilogy, #1)",298,total:82,Leisure Books,5,2000,,Heidi Betts,3.83
96,There's Always Enough: The Miraculous Move of God in Mozambique,192,total:1009,Sovereign World,6,2003,eng,Rolland Baker,4.46
98,What to Expect the First Year (What to Expect),832,total:15480,Workman Publishing Company,663,2003,eng,Heidi Murkoff,3.89
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,123,total:34,One Hour Entertainment,8,2004,eng,Heidi Fleiss,3.82
100,Simply Beautiful Beading: 53 Quick and Easy Projects,128,total:86,North Light Books,4,2004,en-US,Heidi Boyd,3.78
101,Chasing Jordan,240,total:36,Serpent's Tail,7,2005,,Heidi W. Boehringer,3.44
102,Seven-Year Seduction,184,total:89,Silhouette Desire,6,2006,,Heidi Betts,3.61
103,"God Emperor of Dune (Dune Chronicles, #4)",423,total:63372,Ace Books,167,1987,eng,Frank Herbert,3.85
104,"Dune (Dune Chronicles, #1)",528,total:688418,Ace Books,468,2005,eng,Frank Herbert,4.23
105,Chapterhouse: Dune (Dune Chronicles #6),436,total:44113,Ace Books,569,1987,eng,Frank Herbert,3.91
106,Dune Messiah (Dune Chronicles #2),331,total:119887,Ace Books,2372,1987,eng,Frank Herbert,3.88
107,Dreamer of Dune: The Biography of Frank Herbert,592,total:849,Tor Books,21,2004,en-US,Brian Herbert,4.01
108,The Secrets of Frank Herbert's Dune,160,total:44,iBooks,0,2000,,James Van Hise,3.52
109,"Heretics of Dune (Dune Chronicles, #5)",480,total:51869,Putnam,20,1984,eng,Frank Herbert,3.86
110,The Road to Dune,426,total:5143,Tor Science Fiction,83,2006,eng,Frank Herbert,3.88
112,Children of Dune (Dune Chronicles #3),408,total:99703,Ace Books,1408,1987,eng,Frank Herbert,3.93
117,Heretics of Dune (Dune Chronicles #5),471,total:51869,Ace Books,642,1987,eng,Frank Herbert,3.86
119,The Lord of the Rings: The Art of the Fellowship of the Ring,192,total:28117,Houghton Mifflin Harcourt,102,2002,eng,Gary Russell,4.6
121,The Patriarch: The Rise and Fall of the Bingham Dynasty,576,total:24,Touchstone,1,1993,,Susan E. Tifft,3.67
122,"The Power of One (The Power of One, #1)",544,total:74341,Ballantine Books,4580,1996,eng,Bryce Courtenay,4.35
125,The Power of One: Daisy Bates and the Little Rock Nine,192,total:37,Clarion Books,7,2004,,Dennis Brindell Fradin,4.41
128,The Power of One Christlike Life,159,total:40,Whitaker House,3,2000,,Francis Frangipane,4.22
129,"The Power of One: One Person, One Rule, One Month",256,total:18,Thomas Nelson,1,2004,en-US,John C. Maxwell,4.22
130,Power of an Hour: Business and Life Mastery in One Hour a Week,205,total:207,Wiley,16,2006,eng,Dave Lakhani,3.34
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",240,total:15,Heinemann Drama,0,2000,eng,Louis E. Catron,3.67
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",336,total:90,William Morrow Paperbacks,9,2005,eng,Adam Ginsberg,3.48
133,eBay for Dummies,386,total:217,Wiley,9,2006,eng,Marsha Collier,3.51
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,385,total:64,McGraw-Hill/Osborne,2,2004,,Debra Schepp,3.59
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,260,total:24,McGraw-Hill,0,2006,eng,Chris Malta,3.62
137,Starting an eBay Business for Dummies,384,total:117,Wiley,4,2004,eng,Marsha Collier,3.55
138,eBay: Top 100 Simplified Tips & Tricks,260,total:11,Wiley,0,2006,eng,Julia Wilkinson,4.27
139,ebay Timesaving Techniques for Dummies,391,total:23,Wiley,1,2004,en-US,Marsha Collier,3.39
140,eBay Business All-in-One Desk Reference for Dummies,864,total:18,Wiley,3,2005,en-US,Marsha Collier,3.89
141,Ruby Cookbook,873,total:185,O'Reilly Media,4,2006,eng,Lucas Carlson,3.83
142,Ruby Ann's Down Home Trailer Park Cookbook,240,total:51,Citadel,5,2005,eng,Ruby Ann Boxcar,4.12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,206,total:13,Citadel,2,2005,eng,Ruby Ann Boxcar,4.08
146,Ruby's Low-Fat Soul Food Cookbook,175,total:5,McGraw-Hill/Contemporary Books,0,1996,,Ruby Banks-Payne,4.8
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,514,total:68,O'Reilly Media,1,2007,eng,Rob Orsini,3.46
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,256,total:4,Anness Publishing/Southwater Publishing,0,2000,,Ruby Le Bois,3.75
151,Anna Karenina,838,total:631550,Penguin Classics,1873,2004,eng,Leo Tolstoy,4.05
154,CliffsNotes on Tolstoy's Anna Karenina,80,total:19,Cliffs Notes,3,1965,eng,Marianne Sturman,3.89
159,Dinner with Anna Karenina,360,total:498,Mira Books,65,2006,eng,Gloria Goldreich,2.98
160,Tolstoy: Anna Karenina,128,total:1214,Cambridge University Press,33,1987,eng,Anthony Thorlby,4.19
162,Untouchable,160,total:3967,Penguin Books,286,1990,eng,Mulk Raj Anand,3.72
163,The Untouchable,368,total:2686,Vintage Books,218,1998,eng,John Banville,3.95
164,The Untouchables,256,total:684,Buccaneer Books,31,1996,eng,Eliot Ness,3.89
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,320,total:357,Scribner,40,2005,en-US,Narendra Jadhav,3.82
166,Dalit: The Black Untaouchables of India,100,total:10,Clarity Press,0,1995,eng,V.T. Rajshekar,4.2
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",308,total:5,Cambridge University Press,0,1998,,Oliver Mendelsohn,4
168,Growing Up Untouchable in India: A Dalit Autobiography,224,total:20,Rowman & Littlefield Publishers,4,2000,eng,Vasant Moon,3.65
170,The Book of Evidence,304,total:12,Oxford University Press,2,2003,,Peter Achinstein,3.83
171,The Evidence-Based Social Work Skills Book,216,total:10,Pearson,0,2003,eng,Barry R. Cournoyer,3.4
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",48,total:17,Teacher Created Resources,0,1991,eng,John Carratello,4
180,Wrinkles in Time,360,total:1161,Harper Perennial,23,1994,eng,George Smoot,4.01
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),250,total:1017308,EMC/Paradigm Publishing,6,2002,eng,Madeleine L'Engle,4
182,Literature Circle Guide: A Wrinkle in Time,32,total:15,Teaching Resources,0,2002,eng,Tara MacCarthy,3.6
183,Un raccourci dans le temps,254,total:1017308,Pocket,8,1997,,Madeleine L'Engle,4
184,Empress in the Wrinkle of Time: The Knight-King Chronicle,508,total:4,Xlibris Corporation,0,2000,,Valerie Metcalf Estoye,4.25
192,A Wrinkle in Time: L-I-T Guide,40,total:54,Educational Impressions,3,1997,,Charlotte S. Jaffe,3.91
197,A Wrinkle in Time: Teacher Guide,32,total:22,Novel Units,0,1998,,Anne Troy,4.14
201,Una arruga en el tiempo – A Wrinkle in Time,205,total:1017308,Turtleback Books,1,1984,spa,Madeleine L'Engle,4
204,"The Long Shadow (The Morland Dynasty, #6)",367,total:455,"Little, Brown Book Group",17,1994,eng,Cynthia Harrod-Eagles,4.11
205,"A Long Shadow (Inspector Ian Rutledge, #8)",352,total:3879,William Morrow,238,2006,eng,Charles Todd,4.12
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,344,total:14,Rowman & Littlefield Publishers,4,2005,,Christopher Waldrep,3.29
207,Long Way Round: Chasing Shadows Across the World,320,total:9348,Atria Books,44,2005,en-US,Ewan McGregor,3.95
208,"A Shadow in Summer (Long Price Quartet, #1)",331,total:11123,Tor Books,636,2006,eng,Daniel Abraham,3.61
213,New Hope for the Dead (Hoke Mosely #2),244,total:1051,Vintage Crime/Black Lizard,79,2004,eng,Charles Willeford,3.9
214,Sideswipe: A Hoke Moseley Novel,215,total:931,Vintage Crime/Black Lizard,72,2005,eng,Charles Willeford,4.04
215,The Way We Die Now,256,total:803,Vintage Crime/Black Lizard,62,2005,,Charles Willeford,4.06
216,Miami Blues (Hoke Moseley #1),191,total:3508,Vintage Crime/Black Lizard,181,2004,eng,Charles Willeford,3.94
218,The Woman Chaser,192,total:600,Newstand Library,51,1960,,Charles Willeford,3.93
219,The Machine in Ward Eleven,160,total:147,Thunder's Mouth Press,15,2001,,Charles Willeford,3.59
221,Wild Wives,102,total:452,Vintage Crime/Black Lizard,44,2009,,Charles Willeford,3.68
222,The Shark-Infested Custard,272,total:574,Vintage Crime/Black Lizard,58,2005,,Charles Willeford,3.82
224,The Black Mass of Brother Springer,208,total:237,Wit's End Books,11,2003,,Charles Willeford,3.97
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,184,total:7,Texas Tech University Press,0,2001,,Kirby Olson,4.14
228,Cockfighter,200,total:1200,Blackmask.com,62,2005,,Charles Willeford,4.11
229,"Sideswipe (Hoke Moseley, #3)",279,total:931,Ballantine Books,3,1988,,Charles Willeford,4.04
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),144,total:771,Vintage,11,1990,eng,Charles Willeford,3.89
231,I am Charlotte Simmons,738,total:23687,Picador USA,1696,2005,eng,Tom Wolfe,3.42
234,The Complete Verse and Other Nonsense,624,total:974,Penguin Books,27,2002,,Edward Lear,4.18
236,The Complete Nonsense of Edward Lear,287,total:789,Amereon Limited,39,1940,,Edward Lear,4.03
237,Poetry for Young People: Edward Lear,48,total:76,Sterling,19,2001,eng,Edward Lear,3.91
239,An Edward Lear Alphabet,32,total:50,HarperCollins Publishers,9,1999,,Edward Lear,3.42
241,A Was Once an Apple Pie,32,total:217,Orchard Books,67,2005,,Edward Lear,3.41
242,The Owl and the Pussycat,32,total:8057,Puffin Books,9,1996,,Edward Lear,4.19
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),24,total:50,HarperCollins Publishers,6,1986,,Edward Lear,4.6
244,The Puffin Book of Nonsense Verse,287,total:103,Puffin,6,1996,eng,Quentin Blake,4
245,Henry Miller on Writing,217,total:1019,New Directions Publishing,52,1964,eng,Henry Miller,4.23
246,The Colossus of Maroussi,244,total:3280,New Directions,204,1975,,Henry Miller,3.98
247,Quiet Days in Clichy,154,total:4228,Grove Press,143,1994,eng,Henry Miller,3.69
248,Big Sur and the Oranges of Hieronymus Bosch,400,total:2600,New Directions,142,1957,,Henry Miller,4.02
249,Tropic of Cancer,318,total:60009,Grove Press,2405,1994,eng,Henry Miller,3.68
250,Tropic of Capricorn,348,total:17084,Grove Press,463,1994,eng,Henry Miller,3.78
251,"Nexus (The Rosy Crucifixion, #3)",316,total:3577,Grove Press,58,1994,eng,Henry Miller,4.1
252,"Sexus (The Rosy Crucifixion, #1)",506,total:8560,Grove Press,255,1994,eng,Henry Miller,3.98
253,The Air-Conditioned Nightmare,292,total:2916,New Directions,143,1970,eng,Henry Miller,3.83
254,The Time of the Assassins:  a Study of Rimbaud,160,total:1025,New Directions,54,1962,,Henry Miller,3.95
255,Public Places-Urban Spaces: The Dimensions of Urban Design,320,total:116,Architectural Press,7,2003,,Matthew Carmona,4.1
256,Behavior in Public Places,248,total:238,Free Press,7,1966,,Erving Goffman,4.1
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,288,total:19,Lyons Press,1,2004,,Charles A. Coulombe,3.42
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",441,total:48,Faber & Faber,6,2004,,Sian Phillips,3.85
259,Together Alone: Personal Relationships in Public Places,320,total:12,University of California Press,1,2005,,Calvin Morrill,3.67
260,Squares: A Public Place Design Guide for Urbanists,208,total:9,University of New Mexico Press,0,2006,,Mark C. Childs,3.78
261,Just in Time! Pastoral Prayers in Public Places,80,total:5,Abingdon Press,0,2006,,F. Belton Joyner Jr.,3.8
262,Pike Place Public Market Seafood Cookbook,129,total:24,Ten Speed Press,2,2005,,Braiden Rex-Johnson,3.83
263,Art for Public Places: Critical Essays,244,total:4,Winchester School of Arts Press,1,1989,,Malcolm Miles,4.25
264,The Portrait of a Lady,797,total:68057,Penguin Classics,1994,2003,eng,Henry James,3.78
267,Portrait of the Blue Lady: The Character of Melancholy,314,total:9,"Spring Journal, Inc",1,2004,,Lyn Cowan,4.22
271,New Essays on 'The Portrait of a Lady',178,total:3,Cambridge University Press,0,1990,,Joel Porte,4
275,The Lover,117,total:33882,Pantheon Books,1473,1998,eng,Marguerite Duras,3.74
277,Writing,91,total:1595,Brookline Books,49,1999,eng,Marguerite Duras,3.74
278,The War,192,total:2144,The New Press,66,1994,eng,Marguerite Duras,3.85
279,Craniosacral Therapy II: Beyond the Dura,259,total:46,Eastland Press,1,1990,,John E. Upledger,4.35
280,The Ravishing of Lol Stein,181,total:3053,Pantheon,131,1986,en-US,Marguerite Duras,3.66
284,A Treasury of Kahlil Gibran,456,total:1945,Citadel Press,10,1976,,Kahlil Gibran,4.43
285,Love Letters,178,total:418,One World (UK),8,1999,eng,Kahlil Gibran,3.7
286,The Prophet,128,total:220719,Knopf,51,1995,,Kahlil Gibran,4.23
288,Kahlil Gibran: His Life and World,464,total:42,Interlink Publishing Group,2,1998,eng,Jean Gibran,4.21
289,The Beloved: Reflections on the Path of the Heart,102,total:389,Penguin Books,16,1998,eng,Kahlil Gibran,4.19
290,Jesus the Son of Man,216,total:2183,Knopf,83,1995,eng,Kahlil Gibran,3.98
291,The Broken Wings,132,total:16106,Citadel,528,2003,eng,Kahlil Gibran,3.92
292,Sand and Foam,100,total:5413,Knopf,218,2011,eng,Kahlil Gibran,4.08
295,Treasure Island,311,total:380722,Kingfisher,6859,2001,eng,Robert Louis Stevenson,3.83
302,Treasure Island (Great Illustrated Classics),232,total:3433,Abdo Publishing Company,16,2006,eng,Deidre S. Laiken,4.05
303,Cliffs Notes on Stevenson's Treasure Island and Kidnapped,80,total:5,Cliffs Notes,0,1974,,O.L. Mishk,4.6
305,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',100,total:3,University Press of the Pacific,0,2005,,David Kaufmann,4.33
306,Daniel Deronda Notebooks,524,total:20,Cambridge University Press,0,1996,,George Eliot,3.7
309,"Daniel Deronda, V1",384,total:36,IndyPublish.com,2,2003,,George Eliot,4.31
312,Flight: 100 Years of Aviation,440,total:191,DK Publishing (Dorling Kindersley),2,2002,,R.G. Grant,4.31
313,100 Years of Lynchings,270,total:106,Black Classic Press,4,1996,eng,Ralph Ginzburg,4.61
314,If You Lived 100 Years Ago,80,total:134,Scholastic Paperbacks,20,1999,,Ann McGovern,3.91
315,Camp Cooking: 100 Years The National Museum of Forest Service History,192,total:43,Gibbs Smith,1,2004,,National Museum of Forest Service History,4.42
317,El Siglo del Espiritu Santo,559,total:61,Vida Publishers,0,2006,,Vinson Synan,3.79
318,The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,133,total:10,Arrow Publications,2,2004,,Dennis Cramer,4
319,Disney,224,total:92,Disney Editions,1,2003,,Dave   Smith,3.98
323,Masterwork Studies Series: 100 Years of Solitude,176,total:201,Twayne Publishers,14,1991,,Regina Janes,4.05
324,Cien años de soledad,448,total:712566,French & European,7,1990,spa,Gabriel García Márquez,4.07
327,Why Zebras Don't Get Ulcers,560,total:8126,Holt Paperbacks,619,2004,,Robert M. Sapolsky,4.17
328,Chess for Zebras,255,total:81,Gambit Publications,8,2003,,Jonathan Rowson,4.4
329,What If the Zebras Lost Their Stripes?,32,total:76,Paulist Press,14,1998,,John Reitano,4.14
330,On Beyond Zebra!,64,total:2968,Random House Books for Young Readers,165,1955,eng,Dr. Seuss,4.04
331,Ziggy the Zebra,14,total:14,Piggy Toes Press,0,2000,,Libby Ellis,4.07
332,The Wedding Clause,256,total:173,Zebra,14,2005,eng,Debbie Raleigh,3.61
333,The Zebra Wall,147,total:227,Greenwillow Books,24,2005,eng,Kevin Henkes,3.44
334,"""A"" Is for Zebra",32,total:60,Sterling,21,2006,,Mark Shulman,3.78
335,Lots and Lots of Zebra Stripes,32,total:38,Boyds Mills Press,7,2002,,Stephen R. Swinburne,3.74
337,El perfume: Historia de un asesino,239,total:300934,Booket,262,2002,spa,Patrick Süskind,4.02
339,"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",176,total:62,"Storey Publishing, LLC",2,1997,,Nancy M. Booth,3.65
340,Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,176,total:11,Collector Books,0,2006,,Jane Flanagan,4.09
344,Scents & Sensibilities: Creating Solid Perfumes for Well-Being,96,total:71,Gibbs Smith,1,2005,,Mandy Aftel,3.85
348,The Door Into Summer,304,total:21203,Del Rey,654,1997,eng,Robert A. Heinlein,4.01
350,Stranger in a Strange Land,528,total:266867,Ace,6303,1991,eng,Robert A. Heinlein,3.92
353,Time Enough for Love,589,total:30796,Ace,642,1988,eng,Robert A. Heinlein,3.97
354,To Sail Beyond the Sunset,434,total:10560,Ace Books,194,1988,en-US,Robert A. Heinlein,3.87
355,Job: A Comedy of Justice,439,total:16459,Del Rey,440,1985,en-US,Robert A. Heinlein,3.78
356,"Time for the Stars (Heinlein's Juveniles, #10)",256,total:8040,Tor Books,202,2006,eng,Robert A. Heinlein,3.97
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",307,total:74518,Pocket Books,1415,1991,eng,Douglas Adams,4.06
359,"The Salmon of Doubt (Dirk Gently, #3)",298,total:25401,Del Rey,752,2005,eng,Douglas Adams,3.93
362,Wish You Were Here: The Official Biography of Douglas Adams,368,total:2777,Del Rey,49,2005,eng,Nick  Webb,4.14
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",306,total:113878,Pocket Books,2457,2002,eng,Douglas Adams,3.98
366,Velvet: A Novel of Suspense,221,total:7,Foul Play Press,0,1993,,Alec Kalla,2.57
367,Douglas Adams's Starship Titanic,256,total:10960,Ballantine Books,85,1998,eng,Terry Jones,3.6
372,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,7,total:25401,Phoenix Audio,5,2006,,Douglas Adams,3.93
374,Salmon Doubts,128,total:154,Alternative Comics,29,2004,,Adam Sacks,3.25
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,336,total:25401,Turtleback Books,0,2003,eng,Douglas Adams,3.93
379,A Guide for Using the Phantom Tollbooth in the Classroom,48,total:16,Teacher Created Resources,0,1994,,Kathleen L. Bulloch,4.25
380,A Colorful Symphony: Full Score,68,total:1,"G. Schirmer, Inc.",1,1997,,Robert Xavier Rodríguez,5
382,The Phantom Tollbooth: A Children's Play in Two Acts,72,total:100,"Samuel French, Inc.",14,2011,eng,Susan Nanus,4.11
385,On Bullshit,67,total:10264,Princeton University Press,1005,2005,eng,Harry G. Frankfurt,3.57
386,Another Bullshit Night in Suck City,347,total:10051,W. W. Norton & Company,909,2005,eng,Nick Flynn,3.79
387,100 Bullshit Jobs...And How to Get Them,320,total:171,Harper Business,23,2006,,Stanley Bing,3.19
388,The Business of Bullshit,193,total:17,Plume,3,2006,,Graham Edmonds,3.47
389,Bullshit Artist: The 9/11 Leadership Myth,326,total:6,Booksurge Publishing,0,2006,,Ron Schalow,4.67
390,Your Call Is Important to Us: The Truth About Bullshit,272,total:324,Broadway Books,32,2006,,Laura Penny,3.42
392,"Bullets, Badges, and Bullshit",444,total:2,PublishAmerica,0,2006,,Phil T. O'Brien,5
393,"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",342,total:56,Phoenix Books and Audio,8,2006,,Ian Gurvitz,3.34
394,Lincoln at Gettysburg: The Words That Remade America,317,total:7245,Simon & Schuster,15,1993,en-US,Garry Wills,4.14
395,Lincoln's Gettysburg Address in Translation,36,total:6532,Library of Congress,0,1972,,Abraham Lincoln,4.53
