pagesNumber,Authors,Publisher,Rating,Language,RatingDistTotal,RatingDist5,RatingDist3,CountsOfReview,PublishDay,ISBN,RatingDist4,PublishMonth,Id,PublishYear,RatingDist1,RatingDist2,Name
256,Marie D. Jones,New Page Books,3.73,,total:81,5:22,3:17,13,11,1564148955,4:30,15,100030,2006,1:03,2:09,PSIence: How New Discoveries in Quantum Physics and New Science May Explain the Mysteries of Paranormal Phenomenom
354,Sidney B. Cahn,Springer,4.2,,total:10,5:03,3:01,1,8,030645291X,4:06,31,100033,1997,1:00,2:00,"A Guide to Physics Problems: Part 2: Thermodynamics, Statistical Physics, and Quantum Mechanics"
280,Jim Al-Khalili,Orion Publishing,4.14,,total:1500,0.604861111,0.304166667,78,9,1841882380,0.597916667,1,100034,2004,1:06,2:44,Quantum: A Guide for the Perplexed
434,Hans-A. Bachor,Wiley-Vch,3,,total:3,5:00,3:01,0,3,3527403930,4:01,12,100035,2004,1:00,2:01,A Guide to Experiments in Quantum Optics
667,Vyjayanthi Chari,Cambridge University Press,5,,total:1,5:01,3:00,0,11,0521433053,4:00,25,100036,1994,1:00,2:00,A Guide to Quantum Groups
64,Anne Taute,Ravette Publishing,3.85,,total:20,5:05,3:02,1,11,1853048631,4:10,1,100038,1997,1:00,2:03,Bluff Your Way in the Quantum Universe
339,Amit Goswami,Quest Books,4.02,eng,total:96,5:41,3:15,6,6,083560845X,4:30,1,100039,2006,1:04,2:06,The Visionary Window: A Quantum Physicist's Guide to Enlightenment
320,Yoav Peleg,McGraw-Hill Companies,3.77,,total:26,5:10,3:10,1,4,0070540187,4:03,30,100041,1998,1:00,2:03,Schaum's Outline of Quantum Mechanics
360,Ronald Gautreau,McGraw-Hill Education,3.87,,total:31,5:10,3:10,1,8,0070248303,4:09,17,100042,1999,1:00,2:02,Schaum's Outline of Modern Physics
200,Marcus Chown,Joseph Henry Press,4.06,,total:158,5:54,3:26,26,4,0309096227,0.214583333,3,100044,2006,1:00,2:09,The Quantum Zoo: A Tourist's Guide to the Neverending Universe
222,J. Timothy Londergan,Springer,1,,total:1,5:00,3:00,0,11,3540666842,4:00,17,100045,1999,1:01,2:00,"Binding and Scattering in Two-Dimensional Systems: Applications to Quantum Wires, Waveguides and Photonic Crystals"
487,Joe Pritchard,Butterworth-Heinemann,0,,total:0,5:00,3:00,0,1,0750617772,4:00,1,100046,1996,1:00,2:00,The Chaos Cookbook
154,Eliahu Zaarur,McGraw-Hill Education,3.4,,total:5,5:01,3:04,1,10,0071455337,4:00,12,100047,2005,1:00,2:00,Schaum's Easy Outline of Quantum Mechanics
326,Víctor Gil,Cambridge University Press,0,,total:0,5:00,3:00,0,9,0521661676,4:00,18,100048,2000,1:00,2:00,Orbitals in Chemistry: A Modern Guide for Students
32,Harry Allard,Houghton Mifflin,4.29,eng,total:98032,5:53413,3:14787,3,4,0395664985,4:25299,30,100050,1993,0.945833333,2.327083333,Miss Nelson Is Missing!
308,William Fietzer,iUniverse,2,,total:1,5:00,3:00,0,1,0595368220,4:00,22,100053,2006,1:00,2:01,Metadata Murders
133,Alison Bechdel,Firebrand Books,4.27,eng,total:493,0.377777778,0.179166667,17,2,1563410087,0.275694444,1,100054,1992,1:04,2:10,"Dykes to Watch Out For: The Sequel (DtWOF, #4)"
320,Les Bechdel,Appalachian Mountain Club Books,4.34,eng,total:38,5:16,3:00,1,3,1878239554,4:21,1,100055,1997,1:01,2:00,River Rescue: A Manual for Whitewater Safety
118,Alison Bechdel,Firebrand Books,4.33,eng,total:646,0.440972222,0.181944444,17,3,0932379796,0.3125,1,100056,1990,1:00,2:19,"New, Improved! Dykes to Watch Out For (DtWOF, #3)"
304,Jan Morris,"Oxford University Press, USA",4.04,,total:151,5:49,3:31,13,5,0192801368,0.211805556,1,100057,2001,1:00,2:06,Oxford
156,Beth Moore,Lifeway Church Resources,4.31,,total:2866,1.261111111,0.378472222,11,5,0633090352,0.770833333,1,100059,2003,1:44,0.132638889,When Godly People Do Ungodly Things - Bible Study Book: Arming Yourself in the Age of Seduction
320,Beth Moore,B Books,4.31,,total:2866,1.261111111,0.378472222,93,4,0805424652,0.770833333,1,100060,2002,1:44,0.132638889,When Godly People Do Ungodly Things: Finding Authentic Restoration in the Age of Seduction
217,Beth Moore,Casa Creacion,4.31,spa,total:2866,1.261111111,0.378472222,1,4,0884199061,0.770833333,1,100062,2004,1:44,0.132638889,Cuando gente de Dios hace cosas que no son de Dios/when Godly People Do Ungodly Things Beth Moore
412,Beth Moore,Christian Large Print,4.31,,total:2866,1.261111111,0.378472222,0,3,1594151504,0.770833333,1,100063,2007,1:44,0.132638889,When Godly People Do Ungodly Things: Arming Yourself in the Age of Seduction
327,Alex Epstein,Holt Paperbacks,4.03,eng,total:280,0.268055556,3:59,23,5,0805080287,0.254166667,30,100064,2006,1:00,2:09,Crafty TV Writing: Thinking Inside the Box
480,Milton Steinberg,Behrman House Publishing,4.12,eng,total:2507,0.986111111,0.402777778,171,10,0874411033,0.726388889,1,100065,1996,0.089583333,0.161111111,As a Driven Leaf
144,Tom Pomplun,Eureka Productions,3.23,,total:75,5:12,3:31,14,9,0974664812,4:13,28,100067,2004,1:01,2:18,"Graphic Classics, Volume 10: Horror Classics"
144,Hans Rodionoff,Vertigo,3.83,en-US,total:944,0.392361111,0.297916667,7,11,1401201431,0.407638889,1,100068,2004,1:09,0.134722222,Lovecraft
368,Douglas Thin,New York Review Books Classics,4.27,eng,total:183,0.268055556,3:26,6,9,1590170261,0.2125,30,100069,2002,1:00,2:05,"The Colour Out of Space: Tales of Cosmic Horror by Lovecraft, Blackwood, Machen, Poe, and Other Masters of the Weird"
332,H.P. Lovecraft,Night Shade Books,4.3,eng,total:10,5:04,3:01,2,7,,4:05,19,100071,2005,1:00,2:00,"Letters from New York (Letters, Vol 2)"
3,H.P. Lovecraft,Wildside Press,3.8,eng,total:663,0.319444444,0.248611111,2,12,0809562685,0.35625,1,100072,2006,1:11,2:41,"The Dark Worlds of H.P. Lovecraft, Vol 1"
410,Jim Turner,Golden Gryphon Press,3.64,,total:55,5:09,3:15,9,9,0965590178,4:25,1,100073,1998,1:02,2:04,Eternal Lovecraft: The Persistence of HPL in Popular Culture
391,Douglas A. Anderson,Cold Spring Press,4.14,eng,total:85,5:29,3:12,7,11,1593600569,4:42,1,100074,2005,1:01,2:01,H.P. Lovecraft's Favorite Weird Tales: The Roots of Modern Horror
3,H.P. Lovecraft,Wildside Press,3.93,eng,total:299,0.265972222,0.180555556,3,11,0809562669,0.253472222,14,100075,2006,1:01,2:10,"The Dark Worlds of H.P. Lovecraft, Vol 2"
398,Jason Colavito,Prometheus Books,3.65,,total:84,5:15,3:31,20,12,1591023521,4:32,30,100076,2005,1:01,2:05,The Cult of Alien Gods: H.P. Lovecraft And Extraterrestrial Pop Culture
198,Andrew Migliore,Pagan Publishing,3.77,,total:90,5:14,3:27,0,1,1887797157,4:45,1,100077,2000,1:00,2:04,The Lurker in the Lobby
3,H.P. Lovecraft,Audio Realms,3.8200000000000003,eng,total:218,5:55,0.169444444,1,1,1897304048,0.225694444,1,100078,2006,1:02,2:12,"The Dark Worlds of H.P. Lovecraft, Vol 3"
221,D.M. Mitchell,Creation Books,3.68,eng,total:200,5:54,3:50,8,11,1840680873,0.211805556,1,100080,2003,1:07,2:24,The Starry Wisdom
288,H.P. Lovecraft,Hippocampus Press,4.38,eng,total:13,5:07,3:02,1,1,096732159X,4:04,1,100082,2002,1:00,2:00,Letters to Alfred Galpin
212,S.T. Joshi,Hippocampus Press,3.85,,total:26,5:05,3:09,1,12,0972164405,4:12,31,100083,2003,1:00,2:00,Primal Sources: Essays on H. P. Lovecraft
439,H.P. Lovecraft,Night Shade Books,4.35,eng,total:23,5:12,3:02,1,8,1892389495,4:08,2,100084,2005,1:00,2:01,The Letters of H.P. Lovecraft & Donald Wandrei (Letters 1)
552,H.P. Lovecraft,Granada Publishing Limited,4.15,eng,total:1390,0.629166667,0.285416667,53,2,0586063226,0.501388889,14,100085,1985,1:22,2:49,"At the Mountains of Madness and Other Novels of Terror  (The H.P. Lovecraft Omnibus, #1)"
189,Robert W. Chambers,Wildside Press,3.5,,total:10125,1.328472222,2.797222222,14,3,0809557541,2.484027778,20,100087,2007,0.185416667,0.861111111,The King in Yellow
508,S.T. Joshi,Borgo Press,4.17,,total:6,5:03,3:02,0,7,1592240127,4:01,1,100088,2002,1:00,2:00,H. P. Lovecraft and Lovecraft Criticism: An Annotated Bibliography.
76,S.T. Joshi,Necronomicon Press,4.17,,total:6,5:03,3:02,0,12,0940884038,4:01,1,100089,1985,1:00,2:00,"H.P. Lovecraft & Lovecraft Criticism: An Annotated Bibliography, Supplement, 1980-84"
404,H.P. Lovecraft,Ohio University Press,4.14,,total:59,5:25,3:07,8,8,0821413333,4:22,31,100090,2000,1:00,2:05,Lord of a Visible World: An Autobiography in Letters
486,Peter H. Cannon,Arkham House Publishers,4.54,,total:13,5:07,3:00,1,1,0870541730,4:06,1,100091,1998,1:00,2:00,Lovecraft Remembered
3,H.P. Lovecraft,Audio Realms,3.92,eng,total:159,5:46,3:39,12,3,1897304242,0.211805556,1,100093,2006,1:02,2:07,"The Dark Worlds of H.P. Lovecraft, Vol 4"
304,J. Michael Straczynski,Image Comics,4.07,eng,total:1409,0.589583333,0.309722222,107,12,1582404607,0.522222222,28,100094,2004,1:18,0.127777778,Midnight Nation
241,Rick     Smith,Corwin Press,4.03,eng,total:254,0.265277778,3:51,28,9,1889236500,0.243055556,1,100098,2004,1:02,2:09,Conscious Classroom Management: Unlocking the Secrets of Great Teaching
256,Becky A. Bailey,Teaching Strategies,4.29,,total:284,0.308333333,3:34,23,1,1889609110,0.23125,1,100099,2001,1:03,2:10,Conscious Discipline: 7 Basic Skills for Brain Smart Classroom Management
704,Abraham Joshua Heschel,Harper Perennial Modern Classics (NY),4.38,eng,total:967,0.582638889,0.196527778,66,10,0060936991,0.370833333,1,100100,2001,1:04,2:27,The Prophets
352,James Hoopes,Basic Books,3.26,,total:50,5:04,3:19,2,4,0738207985,4:18,17,100101,2003,1:04,2:05,False Prophets: The Gurus Who Created Modern Management And Why Their Ideas Are Bad For Business Today
235,Stephen Toulmin,University of Chicago Press,3.92,eng,total:289,0.261805556,3:52,25,11,0226808386,0.2625,1,100102,1992,1:04,2:18,Cosmopolis: The Hidden Agenda of Modernity
271,Leonie Sandercock,Continuum,4.08,,total:36,5:12,3:05,0,5,0826470459,4:17,5,100103,2004,1:00,2:02,Cosmopolis II
172,Howard Mansfield,Cupr/Transaction,5,,total:3,5:03,3:00,1,5,0882851314,4:00,31,100104,1990,1:00,2:00,Cosmopolis: Yesterday's Cities of the Future
224,Robert M.  Jackson,Palgrave Macmillan,3,,total:1,5:00,3:01,0,4,1403968586,4:00,16,100105,2005,1:00,2:00,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis
264,Steven Pinker,MIT Press,3.77,eng,total:13,5:05,3:03,0,6,0262660644,4:03,20,100107,1988,1:01,2:01,Connections and Symbols
192,Raymond Angelo Belliotti,Rowman & Littlefield Publishers,3.84,,total:19,5:05,3:06,0,12,074253362X,4:07,1,100113,2003,1:00,2:01,Happiness Is Overrated
256,B. Alan Wallace,Wiley,4.03,,total:110,5:43,3:20,5,3,047146984X,4:38,1,100114,2005,1:02,2:07,Genuine Happiness: Meditation as the Path to Fulfillment
224,J.P. Moreland,NavPress,4.09,,total:159,0.254166667,3:30,13,1,1576836487,4:53,17,100115,2006,1:02,2:08,Lost Virtue of Happiness: Discovering the Disciplines of the Good Life
244,Frank Minirth,Baker Books,3.7800000000000002,,total:324,0.284722222,0.175694444,0,12,0801063140,0.234027778,3,100116,2005,1:19,2:25,"Happiness Is a Choice: The Symptoms, Causes, and Cures of Depression"
192,Alexandra Stoddard,William Morrow,3.84,,total:238,0.265277778,0.169444444,19,1,0060008040,0.213888889,31,100117,2006,1:07,2:17,Choosing Happiness: Keys to a Joyful Life
216,Daniel Nettle,"Oxford University Press, USA",3.9,,total:632,0.351388889,0.2375,42,9,0192805592,0.317361111,1,100119,2006,1:14,2:33,Happiness: The Science Behind Your Smile
320,Richard Layard,Penguin Books,3.7199999999999998,,total:874,0.372916667,0.296527778,53,6,0143037013,0.363194444,27,100120,2006,1:21,0.143055556,Happiness: Lessons from a New Science
289,Richard N. Cooper,MIT Press,3.5,,total:4,5:00,3:00,0,2,0262532042,4:03,28,100121,2003,1:00,2:01,What the Future Holds: Insights from Social Science
183,Olivier J. Blanchard,MIT Press (MA),3.33,,total:3,5:01,3:01,0,10,0262023628,4:00,4,100122,1993,1:00,2:01,Post-Communist Reform: Pain and Progress
176,Richard Layard,"Oxford University Press, USA",3,,total:1,5:00,3:01,0,7,0198773943,4:00,21,100123,1994,1:00,2:00,The Unemployment Crisis
179,Olivier J. Blanchard,MIT Press (MA),0,,total:0,5:00,3:00,0,2,0262022494,4:00,13,100124,1986,1:00,2:00,Restoring Europe's Prosperity: Macroeconomic Papers from the Centre for European Policy Studies
496,Richard Layard,Penguin Books,3.71,,total:7,5:00,3:02,0,11,0140806458,4:05,30,100125,1975,1:00,2:00,Cost-benefit Analysis
544,Richard Layard,Palgrave Macmillan,2.67,,total:3,5:00,3:01,0,6,0312215762,4:01,19,100126,1999,1:01,2:00,Tackling Inequality
96,Andrew                        Clark,Heinemann,0,eng,total:0,5:00,3:00,0,4,0435330233,4:00,7,100128,1993,1:00,2:00,UK Unemployment
376,Christopher Peterson,"Oxford University Press, USA",4.1,,total:39,5:14,3:08,0,10,0195044673,4:16,5,100129,1995,1:00,2:01,Learned Helplessness: A Theory for the Age of Personal Control
800,Christopher Peterson,"Oxford University Press, USA",4.24,eng,total:325,0.313194444,3:42,19,4,0195167015,0.247916667,8,100130,2004,1:01,2:14,Character Strengths and Virtues: A Handbook and Classification
304,Robert J. Shiller,Currency,3.98,eng,total:6375,1.728472222,1.055555556,171,2,0767923634,1.839583333,22,100132,2005,0.119444444,0.309027778,Irrational Exuberance
768,Bruce Bagemihl,St. Martins Press-3PL,4.28,,total:306,0.313888889,3:46,5,9,031225377X,0.235416667,5,100133,2000,1:02,2:07,Biological Exuberance: Animal Homosexuality and Natural Diversity
274,Meredith Bagby,Dutton Adult,3,,total:3,5:01,3:00,0,9,0525944087,4:00,1,100138,1998,1:00,2:02,Rational Exuberance: The Influence of Generation X on the New American Economy
267,Sumpter Priddy,Chipstone Foundation/Milwaukee Art Museum,4.12,,total:8,5:04,3:03,0,5,0972435395,4:01,2,100139,2004,1:00,2:00,American Fancy: Exuberance in the Arts 1790-1840
199,Ovid,Modern Library,3.83,eng,total:4606,1.172916667,0.986111111,139,10,0375761179,1.247222222,8,100142,2002,0.096527778,0.320833333,The Art of Love
116,Ovid,Digireads.com,3.93,,total:28,5:11,3:07,3,1,1420927418,4:07,1,100143,2006,1:00,2:03,"The Love Books of Ovid (the Loves, the Art of Love, Love's Cure, and the Art of Beauty)"
216,Alice A. Carter,Harry N. Abrams,4.32,,total:108,5:51,3:14,22,4,0810990687,4:42,23,100144,2002,1:00,2:01,The Red Rose Girls: An Uncommon Story of Art and Love
262,Hong Ying,Marion Boyars Publishers Ltd,3.19,,total:399,5:57,0.225694444,21,11,0714530727,0.230555556,1,100145,2002,1:26,0.138194444,K: The Art of Love
288,Andreas Capellanus,Columbia University Press,3.54,,total:691,0.30625,0.299305556,1,5,0231136579,0.309722222,27,100146,2014,1:19,0.134722222,The Art of Courtly Love
288,Gendün Chöphel,Snow Lion,3.52,,total:33,5:08,3:12,3,5,0937938971,4:08,2,100148,2000,1:02,2:03,"Tibetan Arts Of Love: Sex, Orgasm, And Spiritual Healing"
239,Jane Lahr,"Stewart, Tabori and Chang",3.9,,total:21,5:09,3:06,2,9,0762886943,4:04,15,100149,2001,1:01,2:01,Love: A Celebration in Art & Literature
272,Brenda Shoshanna,Simon  Schuster,4.22,,total:286,0.305555556,3:49,26,2,0743243366,0.225694444,2,100150,2004,1:03,2:09,Zen and the Art of Falling in Love
192,Darcie Frohardt,Fulcrum Publishing,4.15,,total:33,5:13,3:08,3,9,1555914063,4:12,8,100151,1999,1:00,2:00,"Teaching Art With Books Kids Love: Teaching Art Appreciation, Elements of Art, and Principles of Design With Award-Winning Children's Books"
469,Bennard B. Perlman,State University of New York Press,2.5,eng,total:2,5:00,3:00,0,3,0791438368,4:01,11,100152,1999,1:01,2:00,"The Lives, Loves and Art of Arthur B. Davies"
240,Christoph Grunenberg,Tate,4.13,,total:15,5:06,3:04,1,8,1854375954,4:05,2,100154,2005,1:00,2:00,Summer of Love: Art of the Psychedelic Era
182,Pierre Bourdieu,Polity Press,3.98,,total:57,5:18,3:14,1,3,0745619142,4:23,1,100155,1997,1:01,2:01,The Love of Art: European Art Museums and Their Public
176,Michael Camille,Harry N Abrams B.V.,4.12,,total:41,5:15,3:04,1,12,0810915448,4:19,31,100156,1998,1:00,2:03,Medieval Art of Love: Objects and Subjects of Desire
232,Richard Wiseman,Miramax Books,3.8,eng,total:1200,0.44375,0.317361111,96,4,0786869143,0.48125,2,100158,2003,1:36,0.149305556,"The Luck Factor: Changing Your Luck, Changing Your Life - The Four  Essential Principles"
212,Max Gunther,Ballantine Books,3.83,,total:127,5:40,3:34,7,5,0345274407,4:41,12,100160,1978,1:03,2:09,The Luck Factor
336,Nick Tosches,Back Bay Books,3.93,,total:278,0.272916667,3:59,27,8,0316895377,0.2375,28,100161,2002,1:05,2:19,Where Dead Voices Gather
320,Csikszentmi,HarperCollins Publishers,4.11,,total:49586,5:21115,5.825694444,3,3,0060920777,4:17083,1,100162,1991,0.736111111,1.596527778,Flow
528,Omar F. Hamouda,Edward Elgar Publishing,0,,total:0,5:00,3:00,0,6,1858984343,4:00,1,100163,1997,1:00,2:00,"Foundations of Probability, Econometrics and Economic Games, Volume 2: Paradoxes, Ambiguity and Rationality Onal Choice"
466,Robert Wright,Abacus (UK),4.07,,total:9546,2.903472222,1.3375,6,1,0349107041,2.434722222,1,100165,2007,0.1625,0.415972222,The Moral Animal
467,Robert Wright,Pantheon,4.07,eng,total:9546,2.903472222,1.3375,5,8,0679407731,2.434722222,23,100166,1994,0.1625,0.415972222,The Moral Animal: Why We Are The Way We Are:  The New Science of Evolutionary Psychology
176,Christian Smith,"Oxford University Press, USA",3.85,,total:111,5:37,3:26,9,7,0195162021,4:36,10,100167,2003,1:04,2:08,"Moral, Believing Animals: Human Personhood and Culture"
332,Catherine Wilson,Clarendon Press,4.67,,total:3,5:02,3:00,0,9,0199267677,4:01,30,100168,2004,1:00,2:00,Moral Animals: Ideals and Constraints in Moral Theory
182,Robert M. Baird,Prometheus Books,3.75,,total:4,5:01,3:02,1,1,0879756675,4:01,1,100170,1991,1:00,2:00,Animal Experimentation
144,William R. Clark,"Oxford University Press, USA",2.67,,total:3,5:00,3:02,0,9,0192830414,4:00,27,100172,1984,1:00,2:01,The Nature of the Beast: Are Animals Moral?
320,Peter Spiegelman,Vintage Crime/Black Lizard,3.58,eng,total:386,5:50,0.217361111,7,5,1400033594,0.281944444,31,100173,2005,1:07,2:30,"Black Maps (John March, #1)"
304,Peter Spiegelman,Knopf,3.66,eng,total:329,5:55,0.202083333,50,2,0307263169,0.263194444,6,100174,2007,1:07,2:17,"Red Cat (John March, #3)"
32,Art Spiegelman,HarperCollins Publishers,4.09,,total:283,0.296527778,3:51,29,9,0060273208,0.224305556,30,100175,1997,1:06,2:16,Open Me...I'm a Dog!
352,Peter Spiegelman,Vintage Crime/Black Lizard,3.5700000000000003,eng,total:224,5:26,0.179166667,3,6,1400033608,0.236111111,13,100176,2006,1:04,2:16,"Death's Little Helpers (John March, #2)"
288,J. Marvin Spiegelman,"Nicolas-Hays, Inc",4,,total:3,5:02,3:00,1,10,089254077X,4:00,1,100177,2003,1:00,2:01,"Divine Waba (Within, Among, Between and Around): A Jungian Exploration of Spiritual Paths"
224,Ralph Ellison,Vintage,3.89,,total:574,0.303472222,0.23125,30,1,0679776613,0.347222222,12,100178,1998,1:02,2:22,Flying Home and Other Stories
147,Harold Bloom,Chelsea House Publications,4,,total:3,5:02,3:00,0,10,0791063747,4:00,24,100179,2003,1:00,2:01,Ralph Ellison (Bloom's Biocritiques)
438,Kimberly W. Benston,Howard University Press,2.83,,total:6,5:00,3:02,0,4,0882580051,4:02,1,100180,1990,1:01,2:01,Speaking for You: The Vision Of Ralph Ellison
197,Alan Nadel,University Of Iowa Press,3.4,,total:5,5:01,3:02,0,3,0877453217,4:01,1,100181,1991,1:00,2:01,Invisible Criticism: Ralph Ellison and the American Canon
184,Horace A. Porter,University Of Iowa Press,5,,total:1,5:01,3:00,0,9,0877457778,4:00,1,100182,2001,1:00,2:00,Jazz Country: Ralph Ellison in America
336,Gregory Stephens,Cambridge University Press,0,,total:0,5:00,3:00,0,8,052164352X,4:00,28,100184,1999,1:00,2:00,"On Racial Frontiers: The New Culture of Frederick Douglass, Ralph Ellison, and Bob Marley"
296,Steven C. Tracy,"Oxford University Press, USA",4,,total:3,5:01,3:01,0,5,0195152506,4:01,20,100185,2004,1:00,2:00,A Historical Guide to Ralph Ellison
272,Ralph Ellison,Vintage,3.96,,total:71,5:23,3:20,5,5,0375708057,4:25,15,100186,2001,1:00,2:03,Trading Twelves: The Selected Letters of Ralph Ellison and Albert Murray
160,Martha E. Rhynes,Morgan Reynolds Publishing,4,,total:1,5:00,3:00,0,1,1931798699,4:01,1,100188,2006,1:00,2:00,Ralph Ellison: Author of Invisible Man
249,Lucas E. Morel,University Press of Kentucky,3.67,,total:3,5:00,3:01,0,5,0813191629,4:02,5,100189,2006,1:00,2:00,Ralph Ellison and the Raft of Hope: A Political Companion to Invisible Man
368,Robert Reed,Tor Books,3.76,,total:334,0.277083333,0.189583333,27,12,0765341476,0.238194444,12,100191,2004,1:08,2:31,Sister Alice
32,Valerie Wilson Wesley,Simon & Schuster Children's Publishing,4.08,eng,total:12,5:06,3:03,4,4,0689802692,4:02,1,100193,1997,1:00,2:01,Freedom's Gifts
251,Alice Sharpe,Harlequin,3.74,eng,total:35,5:09,3:10,2,6,0373229232,4:12,13,100196,2006,1:00,2:04,"My Sister, Myself (Dead Ringer #1)"
48,Vaunda Micheaux Nelson,First Avenue Editions (Tm),4.12,,total:34,5:10,3:06,6,1,0822559749,4:18,1,100199,2006,1:00,2:00,Juneteenth
24,Carole Boston Weatherford,Lee & Low Books,3.85,,total:20,5:06,3:04,5,9,1880000180,4:08,1,100201,1995,1:01,2:01,Juneteenth Jamboree
256,Ann Rinaldi,HMH Books for Young Readers,3.6,,total:624,0.310416667,0.254166667,71,5,0152059474,0.305555556,1,100202,2007,1:28,0.127083333,Come Juneteenth
48,Angela Leeper,Enslow Elementary,4.25,,total:4,5:01,3:00,0,7,0766022064,4:03,1,100203,2004,1:00,2:00,Juneteenth: A Day to Celebrate Freedom from Slavery
213,Charles W. Chesnutt,Dover Publications,3.89,,total:2439,0.729166667,0.519444444,8,12,0486431630,0.804166667,19,100204,2003,1:34,0.200694444,The Marrow of Tradition
272,Mantak Chia,Destiny Books,4.07,eng,total:73,5:32,3:16,2,10,159477112X,4:20,25,100206,2006,1:01,2:04,Bone Marrow Nei Kung: Taoist Techniques for Rejuvenating the Blood and Bone
704,Kathryn Foucar,American Society of Clinical Pathologists Press,4.67,,total:3,5:02,3:00,0,1,0891894403,4:01,1,100207,2001,1:00,2:00,Bone Marrow Pathology
512,Robert Reed,Tor Science Fiction,3.83,eng,total:1967,0.581944444,0.453472222,76,9,0812566572,0.703472222,17,100208,2001,1:42,0.18125,"Marrow (Great Ship, #1)"
278,Stanley B. Marrow,Paulist Press,4,,total:5,5:01,3:01,0,1,080912744X,4:03,1,100212,1986,1:00,2:00,Paul: His Letters and His Theology: An Introduction to Paul's Epistles
512,Joe Klein,Delta,4.32,,total:1212,0.615277778,0.227777778,88,2,0385333854,0.482638889,9,100213,1999,1:04,2:19,Woody Guthrie
320,Woody Guthrie,Penguin Modern Classics,4.13,en-GB,total:4892,1.647222222,0.676388889,13,6,0141187220,1.377777778,24,100214,2004,0.097916667,0.222916667,Bound for Glory
88,Robert Seder,CavanKerry Press,4,,total:4,5:01,3:01,2,3,0972304568,4:02,31,100215,2006,1:00,2:00,To The Marrow
